"sample","experiment_accession","run_accession","sample_accession","experiment_alias","run_alias","sample_alias","experiment_title","sample_title","sample_description"
"SRX5235733","SRX5235733","SRR8427748","SAMN10722292","B066-M06","B066-M06","B066-M06","Illumina HiSeq 2500 paired end sequencing: UWMLBonussub2","B066-M06","Collection Country: USA Collection Year: 2014"
"SRX5235734","SRX5235734","SRR8427749","SAMN10722293","B066-M08","B066-M08","B066-M08","Illumina HiSeq 2500 paired end sequencing: UWMLBonussub2","B066-M08","Collection Country: USA Collection Year: 2014"
"SRX5235735","SRX5235735","SRR8427750","SAMN10722294","B071-M03","B071-M03","B071-M03","Illumina HiSeq 2500 paired end sequencing: UWMLBonussub2","B071-M03","Collection Country: USA Collection Year: 2012"
"SRX5235736","SRX5235736","SRR8427751","SAMN10722295","B081-M10","B081-M10","B081-M10","Illumina HiSeq 2500 paired end sequencing: UWMLBonussub2","B081-M10","Collection Country: USA Collection Year: 2013"
"SRX5235737","SRX5235737","SRR8427752","SAMN10722296","B087-M06","B087-M06","B087-M06","Illumina HiSeq 2500 paired end sequencing: UWMLBonussub2","B087-M06","Collection Country: USA Collection Year: 2013"
"SRX5235738","SRX5235738","SRR8427753","SAMN10722297","B081-M04","B081-M04","B081-M04","Illumina HiSeq 2500 paired end sequencing: UWMLBonussub2","B081-M04","Collection Country: USA Collection Year: 2013"
"SRX5235739","SRX5235739","SRR8427754","SAMN10722298","B081-M08","B081-M08","B081-M08","Illumina HiSeq 2500 paired end sequencing: UWMLBonussub2","B081-M08","Collection Country: USA Collection Year: 2013"
"SRX5235740","SRX5235740","SRR8427755","SAMN10722299","B087-M04","B087-M04","B087-M04","Illumina HiSeq 2500 paired end sequencing: UWMLBonussub2","B087-M04","Collection Country: USA Collection Year: 2013"
"SRX5235741","SRX5235741","SRR8427756","SAMN10722300","B081-M06","B081-M06","B081-M06","Illumina HiSeq 2500 paired end sequencing: UWMLBonussub2","B081-M06","Collection Country: USA Collection Year: 2013"
"SRX5235742","SRX5235742","SRR8427757","SAMN10722301","B081-M12","B081-M12","B081-M12","Illumina HiSeq 2500 paired end sequencing: UWMLBonussub2","B081-M12","Collection Country: USA Collection Year: 2013"
"SRX5235743","SRX5235743","SRR8427758","SAMN10722302","B087-M03","B087-M03","B087-M03","Illumina HiSeq 2500 paired end sequencing: UWMLBonussub2","B087-M03","Collection Country: USA Collection Year: 2013"
"SRX5235744","SRX5235744","SRR8427759","SAMN10722303","B087-M08","B087-M08","B087-M08","Illumina HiSeq 2500 paired end sequencing: UWMLBonussub2","B087-M08","Collection Country: USA Collection Year: 2013"
"SRX5235745","SRX5235745","SRR8427760","SAMN10722304","4-14-1027-15","4-14-1027-15","4-14-1027-15","Illumina HiSeq 2500 paired end sequencing: UWMLBonussub2","4-14-1027-15","Collection Country: USA Collection Year: 2012"
"SRX5235746","SRX5235746","SRR8427761","SAMN10722305","4-14-1028-25","4-14-1028-25","4-14-1028-25","Illumina HiSeq 2500 paired end sequencing: UWMLBonussub2","4-14-1028-25","Collection Country: USA Collection Year: 2013"
"SRX5235747","SRX5235747","SRR8427762","SAMN10722306","4-14-1022-15","4-14-1022-15","4-14-1022-15","Illumina HiSeq 2500 paired end sequencing: UWMLBonussub2","4-14-1022-15","Collection Country: USA Collection Year: 2012"
"SRX5235748","SRX5235748","SRR8427763","SAMN10722307","B522-M08","B522-M08","B522-M08","Illumina HiSeq 2500 paired end sequencing: UWMLBonussub2","B522-M08","Collection Country: USA Collection Year: 2013"
"SRX5235749","SRX5235749","SRR8427764","SAMN10722308","B088-M05","B088-M05","B088-M05","Illumina HiSeq 2500 paired end sequencing: UWMLBonussub2","B088-M05","Collection Country: USA Collection Year: 2014"
"SRX5235750","SRX5235750","SRR8427765","SAMN10722309","B634-M03","B634-M03","B634-M03","Illumina HiSeq 2500 paired end sequencing: UWMLBonussub2","B634-M03","Collection Country: USA Collection Year: 2012"
"SRX5235751","SRX5235751","SRR8427766","SAMN10722310","B087-M10","B087-M10","B087-M10","Illumina HiSeq 2500 paired end sequencing: UWMLBonussub2","B087-M10","Collection Country: USA Collection Year: 2013"
"SRX5235752","SRX5235752","SRR8427767","SAMN10722311","B165-M06","B165-M06","B165-M06","Illumina HiSeq 2500 paired end sequencing: UWMLBonussub2","B165-M06","Collection Country: USA Collection Year: 2012"
"SRX5235753","SRX5235753","SRR8427768","SAMN10722312","B087-M12","B087-M12","B087-M12","Illumina HiSeq 2500 paired end sequencing: UWMLBonussub2","B087-M12","Collection Country: USA Collection Year: 2014"
"SRX5235754","SRX5235754","SRR8427769","SAMN10722313","B782-M10","B782-M10","B782-M10","Illumina HiSeq 2500 paired end sequencing: UWMLBonussub2","B782-M10","Collection Country: USA Collection Year: 2013"
"SRX5235755","SRX5235755","SRR8427770","SAMN10722314","B692-M02","B692-M02","B692-M02","Illumina HiSeq 2500 paired end sequencing: UWMLBonussub2","B692-M02","Collection Country: USA Collection Year: 2012"
"SRX5235756","SRX5235756","SRR8427771","SAMN10722315","4-14-1017-05","4-14-1017-05","4-14-1017-05","Illumina HiSeq 2500 paired end sequencing: UWMLBonussub2","4-14-1017-05","Collection Country: USA Collection Year: 2011"
"SRX5235757","SRX5235757","SRR8427772","SAMN10722316","4-14-1017-25","4-14-1017-25","4-14-1017-25","Illumina HiSeq 2500 paired end sequencing: UWMLBonussub2","4-14-1017-25","Collection Country: USA Collection Year: 2012"
"SRX5235758","SRX5235758","SRR8427773","SAMN10722317","B906-M03","B906-M03","B906-M03","Illumina HiSeq 2500 paired end sequencing: UWMLBonussub2","B906-M03","Collection Country: USA Collection Year: 2012"
"SRX5235759","SRX5235759","SRR8427774","SAMN10722318","4-14-1023-20","4-14-1023-20","4-14-1023-20","Illumina HiSeq 2500 paired end sequencing: UWMLBonussub2","4-14-1023-20","Collection Country: USA Collection Year: 2012"
"SRX5235760","SRX5235760","SRR8427775","SAMN10722319","4-14-1021-20","4-14-1021-20","4-14-1021-20","Illumina HiSeq 2500 paired end sequencing: UWMLBonussub2","4-14-1021-20","Collection Country: USA Collection Year: 2012"
"SRX5235761","SRX5235761","SRR8427776","SAMN10722320","4-14-1027-25","4-14-1027-25","4-14-1027-25","Illumina HiSeq 2500 paired end sequencing: UWMLBonussub2","4-14-1027-25","Collection Country: USA Collection Year: 2012"
"SRX5235762","SRX5235762","SRR8427777","SAMN10722321","B287-M06","B287-M06","B287-M06","Illumina HiSeq 2500 paired end sequencing: UWMLBonussub2","B287-M06","Collection Country: USA Collection Year: 2012"
"SRX5235763","SRX5235763","SRR8427778","SAMN10722322","B680-M06","B680-M06","B680-M06","Illumina HiSeq 2500 paired end sequencing: UWMLBonussub2","B680-M06","Collection Country: USA Collection Year: 2012"
"SRX5235764","SRX5235764","SRR8427779","SAMN10722323","4-14-1018-10","4-14-1018-10","4-14-1018-10","Illumina HiSeq 2500 paired end sequencing: UWMLBonussub2","4-14-1018-10","Collection Country: USA Collection Year: 2011"
"SRX5235765","SRX5235765","SRR8427780","SAMN10722324","4-14-1020-20","4-14-1020-20","4-14-1020-20","Illumina HiSeq 2500 paired end sequencing: UWMLBonussub2","4-14-1020-20","Collection Country: USA Collection Year: 2012"
"SRX5235766","SRX5235766","SRR8427781","SAMN10722325","4-14-1022-05","4-14-1022-05","4-14-1022-05","Illumina HiSeq 2500 paired end sequencing: UWMLBonussub2","4-14-1022-05","Collection Country: USA Collection Year: 2011"
"SRX5235767","SRX5235767","SRR8427782","SAMN10722326","B043-M06","B043-M06","B043-M06","Illumina HiSeq 2500 paired end sequencing: UWMLBonussub2","B043-M06","Collection Country: USA Collection Year: 2013"
"SRX5235768","SRX5235768","SRR8427783","SAMN10722327","4-14-1020-25","4-14-1020-25","4-14-1020-25","Illumina HiSeq 2500 paired end sequencing: UWMLBonussub2","4-14-1020-25","Collection Country: USA Collection Year: 2012"
"SRX5235769","SRX5235769","SRR8427784","SAMN10722328","4-14-1026-20","4-14-1026-20","4-14-1026-20","Illumina HiSeq 2500 paired end sequencing: UWMLBonussub2","4-14-1026-20","Collection Country: USA Collection Year: 2012"
"SRX5235770","SRX5235770","SRR8427785","SAMN10722329","B295-M03","B295-M03","B295-M03","Illumina HiSeq 2500 paired end sequencing: UWMLBonussub2","B295-M03","Collection Country: USA Collection Year: 2013"
"SRX5235771","SRX5235771","SRR8427786","SAMN10722330","B289-M04","B289-M04","B289-M04","Illumina HiSeq 2500 paired end sequencing: UWMLBonussub2","B289-M04","Collection Country: USA Collection Year: 2012-2014"
"SRX5235772","SRX5235772","SRR8427787","SAMN10722331","B294-M05","B294-M05","B294-M05","Illumina HiSeq 2500 paired end sequencing: UWMLBonussub2","B294-M05","Collection Country: USA Collection Year: 2013"
"SRX5235773","SRX5235773","SRR8427788","SAMN10722332","B294-M12","B294-M12","B294-M12","Illumina HiSeq 2500 paired end sequencing: UWMLBonussub2","B294-M12","Collection Country: USA Collection Year: 2014"
"SRX5235774","SRX5235774","SRR8427789","SAMN10722333","B289-M03","B289-M03","B289-M03","Illumina HiSeq 2500 paired end sequencing: UWMLBonussub2","B289-M03","Collection Country: USA Collection Year: 2012-2014"
"SRX5235775","SRX5235775","SRR8427790","SAMN10722334","B294-M04","B294-M04","B294-M04","Illumina HiSeq 2500 paired end sequencing: UWMLBonussub2","B294-M04","Collection Country: USA Collection Year: 2013"
"SRX5235776","SRX5235776","SRR8427791","SAMN10722335","B294-M06","B294-M06","B294-M06","Illumina HiSeq 2500 paired end sequencing: UWMLBonussub2","B294-M06","Collection Country: USA Collection Year: 2013"
"SRX5235777","SRX5235777","SRR8427792","SAMN10722336","B289-M06","B289-M06","B289-M06","Illumina HiSeq 2500 paired end sequencing: UWMLBonussub2","B289-M06","Collection Country: USA Collection Year: 2012-2014"
"SRX5235778","SRX5235778","SRR8427793","SAMN10722337","B295-M04","B295-M04","B295-M04","Illumina HiSeq 2500 paired end sequencing: UWMLBonussub2","B295-M04","Collection Country: USA Collection Year: 2014"
"SRX5235779","SRX5235779","SRR8427794","SAMN10722338","B288-M12","B288-M12","B288-M12","Illumina HiSeq 2500 paired end sequencing: UWMLBonussub2","B288-M12","Collection Country: USA Collection Year: 2013"
"SRX5235780","SRX5235780","SRR8427795","SAMN10722339","B294-M03","B294-M03","B294-M03","Illumina HiSeq 2500 paired end sequencing: UWMLBonussub2","B294-M03","Collection Country: USA Collection Year: 2013"
"SRX5235781","SRX5235781","SRR8427796","SAMN10722340","B289-M05","B289-M05","B289-M05","Illumina HiSeq 2500 paired end sequencing: UWMLBonussub2","B289-M05","Collection Country: USA Collection Year: 2012-2014"
"SRX5235782","SRX5235782","SRR8427797","SAMN10722341","B299-M04","B299-M04","B299-M04","Illumina HiSeq 2500 paired end sequencing: UWMLBonussub2","B299-M04","Collection Country: USA Collection Year: 2012"
"SRX5235783","SRX5235783","SRR8427798","SAMN10722342","B295-M08","B295-M08","B295-M08","Illumina HiSeq 2500 paired end sequencing: UWMLBonussub2","B295-M08","Collection Country: USA Collection Year: 2014"
"SRX5235784","SRX5235784","SRR8427799","SAMN10722343","B296-M05","B296-M05","B296-M05","Illumina HiSeq 2500 paired end sequencing: UWMLBonussub2","B296-M05","Collection Country: USA Collection Year: 2014"
"SRX5235785","SRX5235785","SRR8427800","SAMN10722344","B299-M03","B299-M03","B299-M03","Illumina HiSeq 2500 paired end sequencing: UWMLBonussub2","B299-M03","Collection Country: USA Collection Year: 2012"
"SRX5235786","SRX5235786","SRR8427801","SAMN10722345","B295-M06","B295-M06","B295-M06","Illumina HiSeq 2500 paired end sequencing: UWMLBonussub2","B295-M06","Collection Country: USA Collection Year: 2014"
"SRX5235787","SRX5235787","SRR8427802","SAMN10722346","B296-M04","B296-M04","B296-M04","Illumina HiSeq 2500 paired end sequencing: UWMLBonussub2","B296-M04","Collection Country: USA Collection Year: 2014"
"SRX5235788","SRX5235788","SRR8427803","SAMN10722347","B296-M12","B296-M12","B296-M12","Illumina HiSeq 2500 paired end sequencing: UWMLBonussub2","B296-M12","Collection Country: USA Collection Year: 2015"
"SRX5235789","SRX5235789","SRR8427804","SAMN10722348","B295-M12","B295-M12","B295-M12","Illumina HiSeq 2500 paired end sequencing: UWMLBonussub2","B295-M12","Collection Country: USA Collection Year: 2014"
"SRX5235790","SRX5235790","SRR8427805","SAMN10722349","B299-M06","B299-M06","B299-M06","Illumina HiSeq 2500 paired end sequencing: UWMLBonussub2","B299-M06","Collection Country: USA Collection Year: 2013"
"SRX5235791","SRX5235791","SRR8427806","SAMN10722350","B295-M05","B295-M05","B295-M05","Illumina HiSeq 2500 paired end sequencing: UWMLBonussub2","B295-M05","Collection Country: USA Collection Year: 2014"
"SRX5235792","SRX5235792","SRR8427807","SAMN10722351","B296-M03","B296-M03","B296-M03","Illumina HiSeq 2500 paired end sequencing: UWMLBonussub2","B296-M03","Collection Country: USA Collection Year: 2014"
"SRX5235793","SRX5235793","SRR8427808","SAMN10722352","B295-M10","B295-M10","B295-M10","Illumina HiSeq 2500 paired end sequencing: UWMLBonussub2","B295-M10","Collection Country: USA Collection Year: 2014"
"SRX5235794","SRX5235794","SRR8427809","SAMN10722353","B301-M06","B301-M06","B301-M06","Illumina HiSeq 2500 paired end sequencing: UWMLBonussub2","B301-M06","Collection Country: USA Collection Year: 2013"
"SRX5235795","SRX5235795","SRR8427810","SAMN10722354","B301-M10","B301-M10","B301-M10","Illumina HiSeq 2500 paired end sequencing: UWMLBonussub2","B301-M10","Collection Country: USA Collection Year: 2014"
"SRX5235796","SRX5235796","SRR8427811","SAMN10722355","B299-M10","B299-M10","B299-M10","Illumina HiSeq 2500 paired end sequencing: UWMLBonussub2","B299-M10","Collection Country: USA Collection Year: 2013"
"SRX5235797","SRX5235797","SRR8427812","SAMN10722356","B301-M05","B301-M05","B301-M05","Illumina HiSeq 2500 paired end sequencing: UWMLBonussub2","B301-M05","Collection Country: USA Collection Year: 2013"
"SRX5235798","SRX5235798","SRR8427813","SAMN10722357","B301-M08","B301-M08","B301-M08","Illumina HiSeq 2500 paired end sequencing: UWMLBonussub2","B301-M08","Collection Country: USA Collection Year: 2013"
"SRX5235799","SRX5235799","SRR8427814","SAMN10722358","B301-M03","B301-M03","B301-M03","Illumina HiSeq 2500 paired end sequencing: UWMLBonussub2","B301-M03","Collection Country: USA Collection Year: 2013"
"SRX5235800","SRX5235800","SRR8427815","SAMN10722359","B304-M02","B304-M02","B304-M02","Illumina HiSeq 2500 paired end sequencing: UWMLBonussub2","B304-M02","Collection Country: USA Collection Year: 2013"
"SRX5235801","SRX5235801","SRR8427816","SAMN10722360","B299-M08","B299-M08","B299-M08","Illumina HiSeq 2500 paired end sequencing: UWMLBonussub2","B299-M08","Collection Country: USA Collection Year: 2013"
"SRX5235802","SRX5235802","SRR8427817","SAMN10722361","B301-M04","B301-M04","B301-M04","Illumina HiSeq 2500 paired end sequencing: UWMLBonussub2","B301-M04","Collection Country: USA Collection Year: 2013"
"SRX5235803","SRX5235803","SRR8427818","SAMN10722362","B301-M02","B301-M02","B301-M02","Illumina HiSeq 2500 paired end sequencing: UWMLBonussub2","B301-M02","Collection Country: USA Collection Year: 2013"
"SRX5235804","SRX5235804","SRR8427819","SAMN10722363","B308-M10","B308-M10","B308-M10","Illumina HiSeq 2500 paired end sequencing: UWMLBonussub2","B308-M10","Collection Country: USA Collection Year: 2014"
"SRX5235805","SRX5235805","SRR8427820","SAMN10722364","B304-M05","B304-M05","B304-M05","Illumina HiSeq 2500 paired end sequencing: UWMLBonussub2","B304-M05","Collection Country: USA Collection Year: 2013"
"SRX5235806","SRX5235806","SRR8427821","SAMN10722365","B308-M03","B308-M03","B308-M03","Illumina HiSeq 2500 paired end sequencing: UWMLBonussub2","B308-M03","Collection Country: USA Collection Year: 2013"
"SRX5235807","SRX5235807","SRR8427822","SAMN10722366","B308-M06","B308-M06","B308-M06","Illumina HiSeq 2500 paired end sequencing: UWMLBonussub2","B308-M06","Collection Country: USA Collection Year: 2014"
"SRX5235808","SRX5235808","SRR8427823","SAMN10722367","B304-M04","B304-M04","B304-M04","Illumina HiSeq 2500 paired end sequencing: UWMLBonussub2","B304-M04","Collection Country: USA Collection Year: 2013"
"SRX5235809","SRX5235809","SRR8427824","SAMN10722368","B308-M02","B308-M02","B308-M02","Illumina HiSeq 2500 paired end sequencing: UWMLBonussub2","B308-M02","Collection Country: USA Collection Year: 2013"
"SRX5235810","SRX5235810","SRR8427825","SAMN10722369","B308-M05","B308-M05","B308-M05","Illumina HiSeq 2500 paired end sequencing: UWMLBonussub2","B308-M05","Collection Country: USA Collection Year: 2014"
"SRX5235811","SRX5235811","SRR8427826","SAMN10722370","B304-M08","B304-M08","B304-M08","Illumina HiSeq 2500 paired end sequencing: UWMLBonussub2","B304-M08","Collection Country: USA Collection Year: 2014"
"SRX5235812","SRX5235812","SRR8427827","SAMN10722371","B304-M03","B304-M03","B304-M03","Illumina HiSeq 2500 paired end sequencing: UWMLBonussub2","B304-M03","Collection Country: USA Collection Year: 2013"
"SRX5235813","SRX5235813","SRR8427828","SAMN10722372","B304-M10","B304-M10","B304-M10","Illumina HiSeq 2500 paired end sequencing: UWMLBonussub2","B304-M10","Collection Country: USA Collection Year: 2014"
"SRX5235814","SRX5235814","SRR8427829","SAMN10722373","B304-M06","B304-M06","B304-M06","Illumina HiSeq 2500 paired end sequencing: UWMLBonussub2","B304-M06","Collection Country: USA Collection Year: 2014"
"SRX5235815","SRX5235815","SRR8427830","SAMN10722374","B180-M05","B180-M05","B180-M05","Illumina HiSeq 2500 paired end sequencing: UWMLBonussub2","B180-M05","Collection Country: USA Collection Year: 2013"
"SRX5235816","SRX5235816","SRR8427831","SAMN10722375","B088-M04","B088-M04","B088-M04","Illumina HiSeq 2500 paired end sequencing: UWMLBonussub2","B088-M04","Collection Country: USA Collection Year: 2013"
"SRX5235817","SRX5235817","SRR8427832","SAMN10722376","B034-M06","B034-M06","B034-M06","Illumina HiSeq 2500 paired end sequencing: UWMLBonussub2","B034-M06","Collection Country: USA Collection Year: 2013"
"SRX5235818","SRX5235818","SRR8427833","SAMN10722377","B388-M08","B388-M08","B388-M08","Illumina HiSeq 2500 paired end sequencing: UWMLBonussub2","B388-M08","Collection Country: USA Collection Year: 2014"
"SRX5235819","SRX5235819","SRR8427834","SAMN10722378","B036-M03","B036-M03","B036-M03","Illumina HiSeq 2500 paired end sequencing: UWMLBonussub2","B036-M03","Collection Country: USA Collection Year: 2013"
"SRX5235820","SRX5235820","SRR8427835","SAMN10722379","B121-M08","B121-M08","B121-M08","Illumina HiSeq 2500 paired end sequencing: UWMLBonussub2","B121-M08","Collection Country: USA Collection Year: 2014"
"SRX5235821","SRX5235821","SRR8427836","SAMN10722380","B123-M04","B123-M04","B123-M04","Illumina HiSeq 2500 paired end sequencing: UWMLBonussub2","B123-M04","Collection Country: USA Collection Year: 2013"
"SRX5235822","SRX5235822","SRR8427837","SAMN10722381","B123-M12","B123-M12","B123-M12","Illumina HiSeq 2500 paired end sequencing: UWMLBonussub2","B123-M12","Collection Country: USA Collection Year: 2014"
"SRX5235823","SRX5235823","SRR8427838","SAMN10722382","B125-M04","B125-M04","B125-M04","Illumina HiSeq 2500 paired end sequencing: UWMLBonussub2","B125-M04","Collection Country: USA Collection Year: 2014"
"SRX5235824","SRX5235824","SRR8427839","SAMN10722383","B123-M03","B123-M03","B123-M03","Illumina HiSeq 2500 paired end sequencing: UWMLBonussub2","B123-M03","Collection Country: USA Collection Year: 2013"
"SRX5235825","SRX5235825","SRR8427840","SAMN10722384","B123-M10","B123-M10","B123-M10","Illumina HiSeq 2500 paired end sequencing: UWMLBonussub2","B123-M10","Collection Country: USA Collection Year: 2014"
"SRX5235826","SRX5235826","SRR8427841","SAMN10722385","B125-M03","B125-M03","B125-M03","Illumina HiSeq 2500 paired end sequencing: UWMLBonussub2","B125-M03","Collection Country: USA Collection Year: 2014"
"SRX5235827","SRX5235827","SRR8427842","SAMN10722386","B123-M06","B123-M06","B123-M06","Illumina HiSeq 2500 paired end sequencing: UWMLBonussub2","B123-M06","Collection Country: USA Collection Year: 2013"
"SRX5235828","SRX5235828","SRR8427843","SAMN10722387","B121-M10","B121-M10","B121-M10","Illumina HiSeq 2500 paired end sequencing: UWMLBonussub2","B121-M10","Collection Country: USA Collection Year: 2014"
"SRX5235829","SRX5235829","SRR8427844","SAMN10722388","B121-M12","B121-M12","B121-M12","Illumina HiSeq 2500 paired end sequencing: UWMLBonussub2","B121-M12","Collection Country: USA Collection Year: 2014"
"SRX5235830","SRX5235830","SRR8427845","SAMN10722389","B123-M08","B123-M08","B123-M08","Illumina HiSeq 2500 paired end sequencing: UWMLBonussub2","B123-M08","Collection Country: USA Collection Year: 2014"
"SRX5235831","SRX5235831","SRR8427846","SAMN10722390","B123-M05","B123-M05","B123-M05","Illumina HiSeq 2500 paired end sequencing: UWMLBonussub2","B123-M05","Collection Country: USA Collection Year: 2013"
"SRX5235832","SRX5235832","SRR8427847","SAMN10722391","B125-M05","B125-M05","B125-M05","Illumina HiSeq 2500 paired end sequencing: UWMLBonussub2","B125-M05","Collection Country: USA Collection Year: 2014"
"SRX5235833","SRX5235833","SRR8427848","SAMN10722392","B134-M04","B134-M04","B134-M04","Illumina HiSeq 2500 paired end sequencing: UWMLBonussub2","B134-M04","Collection Country: USA Collection Year: 2012"
"SRX5235834","SRX5235834","SRR8427849","SAMN10722393","B134-M08","B134-M08","B134-M08","Illumina HiSeq 2500 paired end sequencing: UWMLBonussub2","B134-M08","Collection Country: USA Collection Year: 2013"
"SRX5235835","SRX5235835","SRR8427850","SAMN10722394","B125-M10","B125-M10","B125-M10","Illumina HiSeq 2500 paired end sequencing: UWMLBonussub2","B125-M10","Collection Country: USA Collection Year: 2014"
"SRX5235836","SRX5235836","SRR8427851","SAMN10722395","B134-M03","B134-M03","B134-M03","Illumina HiSeq 2500 paired end sequencing: UWMLBonussub2","B134-M03","Collection Country: USA Collection Year: 2012"
"SRX5235837","SRX5235837","SRR8427852","SAMN10722396","B134-M06","B134-M06","B134-M06","Illumina HiSeq 2500 paired end sequencing: UWMLBonussub2","B134-M06","Collection Country: USA Collection Year: 2013"
"SRX5235838","SRX5235838","SRR8427853","SAMN10722397","B125-M06","B125-M06","B125-M06","Illumina HiSeq 2500 paired end sequencing: UWMLBonussub2","B125-M06","Collection Country: USA Collection Year: 2014"
"SRX5235839","SRX5235839","SRR8427854","SAMN10722398","B125-M08","B125-M08","B125-M08","Illumina HiSeq 2500 paired end sequencing: UWMLBonussub2","B125-M08","Collection Country: USA Collection Year: 2014"
"SRX5235840","SRX5235840","SRR8427855","SAMN10722399","B126-M08","B126-M08","B126-M08","Illumina HiSeq 2500 paired end sequencing: UWMLBonussub2","B126-M08","Collection Country: USA Collection Year: 2014"
"SRX5235841","SRX5235841","SRR8427856","SAMN10722400","B126-M05","B126-M05","B126-M05","Illumina HiSeq 2500 paired end sequencing: UWMLBonussub2","B126-M05","Collection Country: USA Collection Year: 2014"
"SRX5235842","SRX5235842","SRR8427857","SAMN10722401","B134-M10","B134-M10","B134-M10","Illumina HiSeq 2500 paired end sequencing: UWMLBonussub2","B134-M10","Collection Country: USA Collection Year: 2013"
"SRX5235843","SRX5235843","SRR8427858","SAMN10722402","B151-M12","B151-M12","B151-M12","Illumina HiSeq 2500 paired end sequencing: UWMLBonussub2","B151-M12","Collection Country: USA Collection Year: 2014"
"SRX5235844","SRX5235844","SRR8427859","SAMN10722403","B142-M12","B142-M12","B142-M12","Illumina HiSeq 2500 paired end sequencing: UWMLBonussub2","B142-M12","Collection Country: USA Collection Year: 2013"
"SRX5235845","SRX5235845","SRR8427860","SAMN10722404","B151-M06","B151-M06","B151-M06","Illumina HiSeq 2500 paired end sequencing: UWMLBonussub2","B151-M06","Collection Country: USA Collection Year: 2013"
"SRX5235846","SRX5235846","SRR8427861","SAMN10722405","B151-M10","B151-M10","B151-M10","Illumina HiSeq 2500 paired end sequencing: UWMLBonussub2","B151-M10","Collection Country: USA Collection Year: 2014"
"SRX5235847","SRX5235847","SRR8427862","SAMN10722406","B142-M08","B142-M08","B142-M08","Illumina HiSeq 2500 paired end sequencing: UWMLBonussub2","B142-M08","Collection Country: USA Collection Year: 2013"
"SRX5235848","SRX5235848","SRR8427863","SAMN10722407","B151-M08","B151-M08","B151-M08","Illumina HiSeq 2500 paired end sequencing: UWMLBonussub2","B151-M08","Collection Country: USA Collection Year: 2013"
"SRX5235849","SRX5235849","SRR8427864","SAMN10722408","B157-M04","B157-M04","B157-M04","Illumina HiSeq 2500 paired end sequencing: UWMLBonussub2","B157-M04","Collection Country: USA Collection Year: 2013"
"SRX5235850","SRX5235850","SRR8427865","SAMN10722409","B142-M04","B142-M04","B142-M04","Illumina HiSeq 2500 paired end sequencing: UWMLBonussub2","B142-M04","Collection Country: USA Collection Year: 2013"
"SRX5235851","SRX5235851","SRR8427866","SAMN10722410","B142-M06","B142-M06","B142-M06","Illumina HiSeq 2500 paired end sequencing: UWMLBonussub2","B142-M06","Collection Country: USA Collection Year: 2013"
"SRX5235852","SRX5235852","SRR8427867","SAMN10722411","B151-M04","B151-M04","B151-M04","Illumina HiSeq 2500 paired end sequencing: UWMLBonussub2","B151-M04","Collection Country: USA Collection Year: 2013"
"SRX5235853","SRX5235853","SRR8427868","SAMN10722412","B144-M04","B144-M04","B144-M04","Illumina HiSeq 2500 paired end sequencing: UWMLBonussub2","B144-M04","Collection Country: USA Collection Year: 2012-2014"
"SRX5235854","SRX5235854","SRR8427869","SAMN10722413","B157-M08","B157-M08","B157-M08","Illumina HiSeq 2500 paired end sequencing: UWMLBonussub2","B157-M08","Collection Country: USA Collection Year: 2013"
"SRX5235855","SRX5235855","SRR8427870","SAMN10722414","B167-M06","B167-M06","B167-M06","Illumina HiSeq 2500 paired end sequencing: UWMLBonussub2","B167-M06","Collection Country: USA Collection Year: 2014"
"SRX5235856","SRX5235856","SRR8427871","SAMN10722415","B167-M12","B167-M12","B167-M12","Illumina HiSeq 2500 paired end sequencing: UWMLBonussub2","B167-M12","Collection Country: USA Collection Year: 2014"
"SRX5235857","SRX5235857","SRR8427872","SAMN10722416","B157-M06","B157-M06","B157-M06","Illumina HiSeq 2500 paired end sequencing: UWMLBonussub2","B157-M06","Collection Country: USA Collection Year: 2013"
"SRX5235858","SRX5235858","SRR8427873","SAMN10722417","B167-M04","B167-M04","B167-M04","Illumina HiSeq 2500 paired end sequencing: UWMLBonussub2","B167-M04","Collection Country: USA Collection Year: 2014"
"SRX5235859","SRX5235859","SRR8427874","SAMN10722418","B167-M08","B167-M08","B167-M08","Illumina HiSeq 2500 paired end sequencing: UWMLBonussub2","B167-M08","Collection Country: USA Collection Year: 2014"
"SRX5235860","SRX5235860","SRR8427875","SAMN10722419","B158-M06","B158-M06","B158-M06","Illumina HiSeq 2500 paired end sequencing: UWMLBonussub2","B158-M06","Collection Country: USA Collection Year: 2014"
"SRX5235861","SRX5235861","SRR8427876","SAMN10722420","B157-M05","B157-M05","B157-M05","Illumina HiSeq 2500 paired end sequencing: UWMLBonussub2","B157-M05","Collection Country: USA Collection Year: 2013"
"SRX5235862","SRX5235862","SRR8427877","SAMN10722421","B174-M05","B174-M05","B174-M05","Illumina HiSeq 2500 paired end sequencing: UWMLBonussub2","B174-M05","Collection Country: USA Collection Year: 2014"
"SRX5235863","SRX5235863","SRR8427878","SAMN10722422","B158-M05","B158-M05","B158-M05","Illumina HiSeq 2500 paired end sequencing: UWMLBonussub2","B158-M05","Collection Country: USA Collection Year: 2013"
"SRX5235864","SRX5235864","SRR8427879","SAMN10722423","B273-M10","B273-M10","B273-M10","Illumina HiSeq 2500 paired end sequencing: UWMLBonussub2","B273-M10","Collection Country: USA Collection Year: 2013"
