SRS11692684	sra-paired:SRR17644061
SRS11692683	sra-paired:SRR17644062
SRS11692681	sra-paired:SRR17644063
SRS11692682	sra-paired:SRR17644064
SRS11692680	sra-paired:SRR17644065
SRS11692678	sra-paired:SRR17644066
SRS11692679	sra-paired:SRR17644067
SRS11692677	sra-paired:SRR17644068
SRS11692676	sra-paired:SRR17644069
SRS11692675	sra-paired:SRR17644070
SRS11692674	sra-paired:SRR17644071
SRS11692673	sra-paired:SRR17644072
SRS11692672	sra-paired:SRR17644073
SRS11692671	sra-paired:SRR17644074
SRS11692670	sra-paired:SRR17644075
SRS11692669	sra-paired:SRR17644076
SRS11692668	sra-paired:SRR17644077
SRS11692667	sra-paired:SRR17644078
SRS11692666	sra-paired:SRR17644079
SRS11692665	sra-paired:SRR17644080
SRS11692664	sra-paired:SRR17644081
SRS11692663	sra-paired:SRR17644082
SRS11692661	sra-paired:SRR17644083
SRS11692662	sra-paired:SRR17644084
SRS11692660	sra-paired:SRR17644085
SRS11692659	sra-paired:SRR17644086
SRS11692658	sra-paired:SRR17644087
SRS11692657	sra-paired:SRR17644088
SRS11692656	sra-paired:SRR17644089
SRS11692655	sra-paired:SRR17644090
SRS11692654	sra-paired:SRR17644091
SRS11692653	sra-paired:SRR17644092
SRS11692652	sra-paired:SRR17644093
SRS11692651	sra-paired:SRR17644094
SRS11692650	sra-paired:SRR17644095
